audience,budget,casting,countries,duration_s,end_year,genres,id,kind,metacritic_score,original_title,poster_link,rating,release_year,synopsis,title,vote_count,worldwide_gross
Passed,3977000,"Clark Gable, Vivien Leigh, Thomas Mitchell, Barbara O'Neil, Evelyn Keyes, Ann Rutherford, George Reeves, Fred Crane, Hattie McDaniel, Oscar Polk, Butterfly McQueen, Victor Jory, Everett Brown, Howard Hickman, Alicia Rhett, Leslie Howard, Olivia de Havilland, Rand Brooks",United States,14280,,"Drama, Romance, War",tt0031381,Movie,97,Gone with the Wind,https://m.media-amazon.com/images/M/MV5BYjUyZWZkM2UtMzYxYy00ZmQ3LWFmZTQtOGE2YjBkNjA3YWZlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,8.2,1939,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.,Gone with the Wind,332931,402382193
TV-14,,"Kiefer Sutherland, Mary Lynn Rajskub, Carlos Bernard, Dennis Haysbert, Elisha Cuthbert, James Morrison, Reiko Aylesworth, Jude Ciccolella, Kim Raver, Glenn Morshower, D.B. Woodside, Roger Cross, Penny Johnson Jerald, Cherry Jones, Gregory Itzin, Annie Wersching, Louis Lombardi, Sarah Clarke",United States,2640,2014,"Action, Crime, Drama",tt0285331,TV Series,,24,https://m.media-amazon.com/images/M/MV5BMTg5OTkyNzA0NF5BMl5BanBnXkFtZTcwMDYyMDUwMg@@._V1_.jpg,8.4,2001,Counter Terrorism Agent Jack Bauer races against the clock to subvert terrorist plots and save his nation from ultimate disaster.,24,196373,
TV-14,,"Alex O'Loughlin, Scott Caan, Taylor Wily, Daniel Dae Kim, Grace Park, Chi McBride, Dennis Chun, Masi Oka, Jorge Garcia, Ian Anthony Dale, Kimee Balmilero, Meaghan Rath, Beulah Koale, Michelle Borth, Teilor Grubbs, Shawn Mokuahi Garnett, Brian Yang, Donnell Jewell Williams",United States,2520,2020,"Action, Crime, Drama",tt1600194,TV Series,,Hawaii Five-0,https://m.media-amazon.com/images/M/MV5BZjhlOTFmZTEtYWE4OC00OTA3LThkZmMtYzU2ZDYzNTE4ZWVjXkEyXkFqcGdeQXVyMTE0NzY5OTk5._V1_.jpg,7.4,2010,"When Steve McGarrett returns home to Oahu to find his father's killer, the Governor offers him the chance to run his own task force: Five-0.",Hawaii Five-0,78375,
TV-14,,"Christopher Meloni, Danielle Moné Truitt, Ainsley Seiger, Rick Gonzalez, Nicky Torchia, Brent Antonello, Mike Cannon, Rachel Lin, Nona Parker Johnson, Ellen Burstyn, Keren Dukes, Tamara Taylor, Dylan McDermott, Mariska Hargitay, Guillermo Diaz, Allison Siko, Wesam Keesh, Daniel Oreskes",United States,2520,,"Crime, Drama, Mystery",tt12677870,TV Series,,Law & Order: Organized Crime,https://m.media-amazon.com/images/M/MV5BYzJkMmNmYjktYThkZC00OTVhLTk5YzUtMWViNjhjNWVkZDIzXkEyXkFqcGdeQXVyMTUwMzM5ODkz._V1_.jpg,7.7,2021,Elliot Stabler returns to the NYPD to battle organized crime after a devastating personal loss.,Law & Order: Organized Crime,9753,
TV-14,,"Ben Feldman, Lauren Ash, Colton Dunn, Nico Santos, Mark McKinney, Nichole Sakura, Danny Gura, Jon Miyahara, America Ferrera, Kaliko Kauahi, Mariana Tosca, Selisha Shertick, Kelly Schumann, Jon Barinholtz, Irene White, Amir M. Korangy, Linda Porter, Michael Bunin",United States,1320,2021,Comedy,tt4477976,TV Series,,Superstore,https://m.media-amazon.com/images/M/MV5BNzM2OWM1MTUtNmNhYy00ZDJlLTgyYWQtOWY3ZmVjYjNiN2U4XkEyXkFqcGdeQXVyODUxOTU0OTg@._V1_.jpg,7.9,2015,A look at the lives of employees at a big box store.,Superstore,68555,
TV-MA,,"Carrie Coon, Morgan Spector, Louisa Jacobson, Denée Benton, Taissa Farmiga, Harry Richardson, Blake Ritson, Simon Jones, Jack Gilpin, Ben Ahlers, Cynthia Nixon, Christine Baranski, Debra Monk, Kelli O'Hara, Taylor Richardson, Celia Keenan-Bolger, Kristine Nielsen, Patrick Page",United States,3600,,Drama,tt4406178,TV Series,,The Gilded Age,https://m.media-amazon.com/images/M/MV5BMTQ0NjA5NzUtNDhmOS00OGJjLTk4ZDEtNjcxMTBjZDcxNmRhXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_.jpg,8.0,2022,"The series follows the conflicts surrounding the new money Russell family and their old money neighbors, the van Rhijn family, in 1880s New York City high society.",The Gilded Age,37609,
16+,,"Jennifer Lopez, Fat Joe, Jane Fonda, Ben Affleck, Idaliz Cristian, Matthew Law, Brandon Delsid, Alix Angelis, Malcolm Kelner, Ashley Versher, Danielle Larracuente, Gilbert Saldivar, Trevor Noah, Kim Petras, Post Malone, Keke Palmer, Sofía Vergara, Jenifer Lewis",United States,3900,,"Music, Musical",tt30215084,Movie,61,This Is Me... Now: A Love Story,https://m.media-amazon.com/images/M/MV5BMTc0MWU2MmUtY2I3OC00N2MwLTkyNTktOWJkNjYwY2RjYjcwXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg,4.5,2024,"Coinciding with the release of her album of the same name, this narrative-driven odyssey tells the story of Jennifer Lopez's journey to love through her own eyes.",This Is Me... Now,4728,
R,,"Kelly Rowland, Trevante Rhodes, Nick Sagar, Sean Sagar, RonReaco Lee, Shannon Thornton, Kerry O'Malley, Arianna Barron, Connor Weil, Angela Robinson, María Gabriela González, Gene Weygandt, Paul Ryden, Candice Fawcett, Cory Hardin, Ava Hill, Callie Johnson, Avery Bigelow",United States,7200,,"Crime, Drama, Thriller",tt26861992,Movie,33,Mea Culpa,https://m.media-amazon.com/images/M/MV5BYTJlMDQxOWUtMWM0NC00YjI2LTk0ZmEtYmU0MWYzMjU1NTgyXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_.jpg,4.1,2024,"Follows an ambitious criminal defense attorney that, in her aspiration to be named partner, takes on the case of an artist accused of murdering his girlfriend.",Mea Culpa,4758,
TV-14,,"Rosamund Pike, Daniel Henney, Madeleine Madden, Zoë Robins, Josha Stradowski, Marcus Rutherford, Kate Fleetwood, Hammed Animashaun, Priyanka Bose, Fares Fares, Álvaro Morte, Taylor Napier, Barney Harris, Dónal Finn, Emmanuel Imani, Ceara Coveney, Jennifer Cheon Garcia, Natasha O'Keeffe",United States,3600,,"Action, Adventure, Drama",tt7462410,TV Series,,The Wheel of Time,https://m.media-amazon.com/images/M/MV5BZjcyOTk2YmQtMTI3NS00MTM3LWIyZDgtZGJkMDk1YmE2ZDEwXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_.jpg,7.2,2021,"Set in a high fantasy world where magic exists, but only some can access it, a woman named Moiraine crosses paths with five young men and women. This sparks a dangerous, world-spanning journey. Based on the book series by Robert Jordan.",The Wheel of Time,136070,
R,70000000,"Denzel Washington, Dakota Fanning, Eugenio Mastrandrea, David Denman, Gaia Scodellaro, Remo Girone, Andrea Scarduzio, Andrea Dodero, Daniele Perrone, Zakaria Hamza, Manuela Tasciotti, Dea Lanzaro, Sonia Ammar, Alessandro Pess, Niccolò Fava, Alessandro Xavier De Silva, Adolfo Margiotta, Niccolò Senni","United States, Italy",6540,,"Action, Crime, Thriller",tt17024450,Movie,58,The Equalizer 3,https://m.media-amazon.com/images/M/MV5BYjZjYTllOWItYjUxMC00NTA0LWI1ZjItNjE5YjVhZjRmYmYwXkEyXkFqcGdeQXVyMTcwOTQzOTYy._V1_.jpg,6.8,2023,"Robert McCall finds himself at home in Southern Italy but he discovers his friends are under the control of local crime bosses. As events turn deadly, McCall knows what he has to do: become his friends' protector by taking on the mafia.",The Equalizer 3,106816,191067560
R,364582,"Conor Sherry, Gabriel LaBelle, Mika Abdalla, Nick Robinson, David Costabile, Gillian Vigman, June Gentry, April Clark, Michael Bonini, Christian James, Steve Berg, Kate Robertson Pryor, JD Evermore, Jason Boots, Ariel Celeste, Charles Cohen, Ben Cornwell, Piper Cornwell",United States,6720,,Comedy,tt22004344,Movie,64,Snack Shack,https://m.media-amazon.com/images/M/MV5BYWVmNGYwMjEtZTAxNy00NTk5LWI4YjItYjVmNTNlZDg5ZGZhXkEyXkFqcGdeQXVyMjI0NjI0Nw@@._V1_.jpg,7.8,2024,"Nebraska City, 1991, two best friends get the chance to run the swimming pool snack shack, that later comes to be the perfect scenario for transgression, fun, personal discovery and romance.",Snack Shack,331,364582
TV-PG,,"William Shatner, Leonard Nimoy, DeForest Kelley, Nichelle Nichols, James Doohan, Eddie Paskey, George Takei, Walter Koenig, Majel Barrett, John Winston, Paul Baxley, Jay D. Jones, David L. Ross, Grace Lee Whitney, Sean Morgan, Bart La Rue, Barbara Babcock, Dick Geary",United States,3000,1969,"Action, Adventure, Sci-Fi",tt0060028,TV Series,,Star Trek,https://m.media-amazon.com/images/M/MV5BNDRkMTNiNjgtZDIyOC00NmE1LTlkZjEtMGZiNTcyZDQ0NjcxXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_.jpg,8.4,1966,"In the 23rd Century, Captain James T. Kirk and the crew of the U.S.S. Enterprise explore the galaxy and defend the United Federation of Planets.",Star Trek,92318,
Not Rated,110248,"Christos Stergioglou, Michele Valley, Angeliki Papoulia, Christos Passalis, Mary Tsoni, Anna Kalaitzidou, Steve Krikris, Sissi Petropoulou, Alexander Voulgaris",Greece,5820,,"Drama, Thriller",tt1379182,Movie,73,Kynodontas,https://m.media-amazon.com/images/M/MV5BMjIyOTkyMDE5N15BMl5BanBnXkFtZTcwNjIwNzQwMw@@._V1_.jpg,7.2,2009,"A controlling, manipulative father locks his three adult offsprings in a state of perpetual childhood by keeping them prisoner within the sprawling family compound.",Dogtooth,109305,689077
R,1792905,"Daisy Ridley, Ben Mendelsohn, Brooklynn Prince, Gil Birmingham, Caren Pistorius, Garrett Hedlund, Joey Carson, Joshua Peace, Pamela MacDonald, Dan Abramovici, Sophia Walker, Yanna McIntosh, Ash Catherwood, Toby Proctor, Blair Johannes, Cotton Mather, Lee Villeneuve, Thomas Kane",United States,6540,,"Crime, Drama, Mystery",tt8002382,Movie,47,The Marsh King's Daughter,https://m.media-amazon.com/images/M/MV5BNzdjNzY1OTctMWIxMS00NzA3LWExNWQtOWEyM2Q2MWRlOGFmXkEyXkFqcGdeQXVyMTA2MDU0NjM5._V1_.jpg,5.9,2023,A woman seeks revenge against the man who kidnapped her mother.,The Marsh King's Daughter,8893,2997951
TV-14,,"Scott Caan, Dania Ramirez, Ryan Broussard, Adeola Role, Graham Verchere, Fivel Stewart, Petey Gibson, Elana Dunkelman, Brendon Tremblay, Alisha-Marie Ahamed, Gil Bellows, Bre Blair, Bethany Anne Lind, Oberon K.A. Adjepong, Joe Pingue, Conni Miu, Tyrone Benskin, Samuel Warnock",United States,2700,,"Action, Crime, Drama",tt18699118,TV Series,,Alert: Missing Persons Unit,https://m.media-amazon.com/images/M/MV5BOTUwODhlMDAtOTc3NC00ZjZhLTk2ZjctNzdlMDUxMzJjZTk1XkEyXkFqcGdeQXVyMTEwMTQ4MzU5._V1_.jpg,5.8,2023,Follows Nikki Batista after she joins the Philadelphia Police Department's Missing Person's Unit to help other people find their loved ones at the same time that she is looking for her missing son.,Alert: Missing Persons Unit,2813,
TV-MA,,"Jose Coronado, Luis Zahera, Nona Sobo, Felipe Londoño, Laura Ramos, Manolo Caro, Manuel Tallafé, Ell, Miguel Ángel Jiménez, Maria Molins, Itziar Atienza, María de Nati, David Haverty, Carmen Esteban, Martín Páez, Víktor Beltrán, Raúl Sanz, Álvaro Aparicio",Spain,4740,,Drama,tt13980362,TV Series,,Entrevías,https://m.media-amazon.com/images/M/MV5BMGZhOTcwY2UtZjFlYS00N2E1LWFmNjgtZWU1NTExZmMzMjgwXkEyXkFqcGdeQXVyODIzMjE0NTc@._V1_.jpg,6.9,2021,"When his teenage granddaughter falls victim to the drug dealers overtaking his neighborhood, a fed-up war veteran takes matters into his own hands.",Wrong Side of the Tracks,5117,
,,"Leonardo DiCaprio, Sean Penn, Teyana Taylor, Wood Harris, Regina Hall, Alana Haim, Chase Infiniti, Tracy Todd, Shayna McHayle, Jack Trout, Brenda Lorena Garcia, Jim Anderson, Brandon Larson, Christian Tabor, Justin Higgs, Bogdan Szumilas, Mario Valdez, Justin S. McDavitt",United States,,,"Crime, Drama, Thriller",tt30144839,Movie,,BC Project,https://m.media-amazon.com/images/M/MV5BMjM1OTNlNzUtYTdlZi00ODI2LWFkZWUtZmEzYzY0MDI2ODcwXkEyXkFqcGdeQXVyMTM1ODY4MjU0._V1_.jpg,,2025,Plot under wraps,Untitled Paul Thomas Anderson Event Film,0,
R,148582,"Colm Meaney, Will Attenborough, Jeremias Amoore, Sophie McIntosh, Phyllis Logan, Grace Nettle, James Carroll Jordan, Carlos Agualusa, Manuel Pacific, Peppijna Dalli, David Samartin, Scott Coker, David J Biscoe, Lee Byford",United States,5400,,"Action, Adventure, Drama",tt16253418,Movie,,No Way Up,https://m.media-amazon.com/images/M/MV5BMTEyOTQzZjgtMDM1OC00MWMxLWI2ZGUtYWUwOTQxNTRmZTU0XkEyXkFqcGdeQXVyNTU1MDIzMzg@._V1_.jpg,4.5,2024,Characters from different backgrounds are thrown together when the plane they're travelling on crashes into the Pacific Ocean. A nightmare fight for survival ensues with the air supply running out and dangers creeping in from all sides.,No Way Up,3092,2797569
TV-14,,"Ralph Macchio, William Zabka, Courtney Henggeler, Xolo Maridueña, Tanner Buchanan, Mary Mouser, Jacob Bertrand, Gianni DeCenzo, Martin Kove, Vanessa Rubio, Peyton List, Griffin Santopietro, Owen Morgan, Aedin Mincks, Jayden Rivers, Joe Seo, Khalil Everage, Yuji Okumoto",United States,1800,2024,"Action, Comedy, Drama",tt7221388,TV Series,,Cobra Kai,https://m.media-amazon.com/images/M/MV5BYWU4ZmI0NTItZjcyNy00MzQ5LThiNDQtZDZkNjg1NWUwN2RhXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_.jpg,8.5,2018,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.",Cobra Kai,202928,
TV-14,,"Rosario Dawson, David Tennant, Natasha Liu Bordizzo, Mary Elizabeth Winstead, Ray Stevenson, Ivanna Sakhno, Diana Lee Inosanto, Eman Esfandi, Hayden Christensen, Nican Robinson, Paul Darnell, Dawn Dininger, Evan Whitten, Lars Mikkelsen, Genevieve O'Reilly, Paul Sun-Hyung Lee, Wes Chatham, Jeryl Prescott",United States,3240,,"Action, Adventure, Drama",tt13622776,TV Series,,Ahsoka,https://m.media-amazon.com/images/M/MV5BMWM1NjU1MDgtYjhjYS00Mjg5LWE1MWEtNzUwNWMxNTU2ZWY3XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg,7.6,2023,"After the fall of the Galactic Empire, former Jedi Ahsoka Tano investigates an emerging threat to a vulnerable galaxy.",Ahsoka,108138,
TV-14,,"The Saturday Night Live Band, Don Pardo, Darrell Hammond, Kenan Thompson, Lenny Pickett, Seth Meyers, Fred Armisen, Colin Jost, Kate McKinnon, Cecily Strong, Aidy Bryant, Michael Che, G.E. Smith, Bobby Moynihan, Tim Meadows, Kyle Mooney, Jason Sudeikis, Kevin Nealon",United States,5400,,"Comedy, Music",tt0072562,TV Series,,Saturday Night Live,https://m.media-amazon.com/images/M/MV5BY2YxODFmOGUtMjY1OC00YTk5LTlkNWEtMzU5MWYxNTgwNzkxXkEyXkFqcGdeQXVyODUxOTU0OTg@._V1_.jpg,8.0,1975,A famous guest host stars in parodies and sketches created by the cast of this witty show.,Saturday Night Live,52447,
PG-13,97600000,"Matt Damon, Christian Bale, Jon Bernthal, Caitríona Balfe, Josh Lucas, Noah Jupe, Tracy Letts, Remo Girone, Ray McKinnon, JJ Feild, Jack McMullen, Corrado Invernizzi, Joe Williamson, Ian Harding, Christopher Darga, Shawn Law, Emil Beheshti, Darrin Prescott",United States,9120,,"Action, Biography, Drama",tt1950186,Movie,81,Ford v Ferrari,https://m.media-amazon.com/images/M/MV5BM2UwMDVmMDItM2I2Yi00NGZmLTk4ZTUtY2JjNTQ3OGQ5ZjM2XkEyXkFqcGdeQXVyMTA1OTYzOTUx._V1_.jpg,8.1,2019,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,Ford v Ferrari,463585,225508210
,,"David Jonsson, Mathew Baynton, Nimra Bucha, Morfydd Clark, Penelope Wilton, Phoebe Licorish, Douglas Henshall, Kathryn Howden, Mark Bonnar, Kevin Mains, Sinead Matthews, Tamzin Outhwaite, Jon Pointing, Holly Howden Gilchrist, Tom Riley, Joe Fagan, Demmy Ladipo, Gloria Obianyo",United Kingdom,7020,2023,"Mystery, Thriller",tt26771826,TV Series,,Murder Is Easy,https://m.media-amazon.com/images/M/MV5BY2Q4OGIyMDAtMWNkMC00MjY5LWIyZTktMTdhYjhjZjIxNjQ5XkEyXkFqcGdeQXVyMTYxMjYxMTU3._V1_.jpg,5.6,2023,"Follows Luke Fitzwilliam, as he finds himself on the trail of a serial killer after meeting Miss Pinkerton on a train to London. Now Fitzwilliam has to find the killer before any more blood will be shed.",Murder Is Easy,2601,
PG-13,29000000,"Gena Rowlands, James Garner, Rachel McAdams, Ryan Gosling, Tim Ivey, Starletta DuPois, Anthony-Michael Q. Thomas, Ed Grady, Renée Amber, Jennifer Echols, Geoffrey Knight, Kevin Connolly, Heather Wahlquist, Andrew Schaff, Matt Shelly, Michael D. Fuller, Jonathan Parks Jordan, Leslea Fisher",United States,7380,,"Drama, Romance",tt0332280,Movie,53,The Notebook,https://m.media-amazon.com/images/M/MV5BNzc3Mzg1OGYtZjc3My00Y2NhLTgyOWUtYjRhMmI4OTkwNDg4XkEyXkFqcGdeQXVyMTU3NDU4MDg2._V1_.jpg,7.8,2004,An elderly man reads to a woman with dementia the story of two young lovers whose romance is threatened by the difference in their respective social classes.,The Notebook,616820,118262017
PG,16000000,"Cary Elwes, Mandy Patinkin, Robin Wright, Chris Sarandon, Christopher Guest, Wallace Shawn, André René Roussimoff, Fred Savage, Peter Falk, Peter Cook, Mel Smith, Carol Kane, Billy Crystal, Anne Dyson, Margery Mason, Malcolm Storry, Willoughby Gray, Betsy Brantley",United States,5880,,"Adventure, Comedy, Family",tt0093779,Movie,78,The Princess Bride,https://m.media-amazon.com/images/M/MV5BYzdiOTVjZmQtNjAyNy00YjA2LTk5ZTAtNmJkMGQ5N2RmNjUxXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg,8.0,1987,"A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",The Princess Bride,449407,30957375
R,3300000,"Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser, Austin Stowell, Nate Lang, Chris Mulkey, Damon Gupton, Suanne Spoke, Max Kasch, Charlie Ian, Jayson Blair, Kofi Siriboe, Kavita Patil, C.J. Vana, Tarik Lowe, Tyler Kimball, Rogelio Douglas Jr.",United States,6360,,"Drama, Music",tt2582802,Movie,89,Whiplash,https://m.media-amazon.com/images/M/MV5BOTA5NDZlZGUtMjAxOS00YTRkLTkwYmMtYWQ0NWEwZDZiNjEzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,8.5,2014,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,Whiplash,980134,49449489
TV-14,,"Aidan Gallagher, Elliot Page, Tom Hopper, David Castañeda, Emmy Raver-Lampman, Robert Sheehan, Justin H. Min, Colm Feore, Jordan Claire Robbins, Ritu Arya, Adam Godley, Kate Walsh, Yusuf Gatewood, Ken Hall, Cameron Britton, Marin Ireland, Mary J. Blige, Genesis Rodriguez",United States,3600,2024,"Action, Adventure, Comedy",tt1312171,TV Series,,The Umbrella Academy,https://m.media-amazon.com/images/M/MV5BYjFiNTA2YzYtMDg0Mi00NDIwLTk0MTAtNmNlMDhkYTc2YzBhXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg,7.9,2019,"A family of former child heroes, now grown apart, must reunite to continue to protect the world.",The Umbrella Academy,273519,
R,5000000,"Tom Hanks, Tawny Kitaen, Adrian Zmed, George Grizzard, Barbara Stuart, Robert Prescott, William Tepper, Wendie Jo Sperber, Barry Diamond, Gary Grossman, Michael Dudikoff, Bradford Bancroft, Martina Finch, Deborah Harmon, Tracy Smith, Florence Schauffler, Sumant, John Bloom",United States,6300,,Comedy,tt0086927,Movie,56,Bachelor Party,https://m.media-amazon.com/images/M/MV5BZjdjMjA0ZmEtNGFjYy00MDQwLWI5MDAtN2IyZmFlYTc0ODNjXkEyXkFqcGdeQXVyMTUyOTc1NDYz._V1_.jpg,6.3,1984,A soon-to-be-married man's friends throw him the ultimate bachelor party.,Bachelor Party,42459,38435947
R,,"Benicio Del Toro, Justin Timberlake, Eric Bogosian, Alicia Silverstone, Domenick Lombardozzi, Frances Fisher, Ato Essandoh, Michael Pitt, Karl Glusman, Mike Pniewski, Matilda Anna Ingrid Lutz, Catherine Dyer, Thad Luckinbill, Michael Beasley, JC Capone, Sky Ferreira, James Devoti, Amy Parrish",United States,8040,,"Crime, Drama, Mystery",tt13274016,Movie,52,Reptile,https://m.media-amazon.com/images/M/MV5BMTA0MmNhNzUtZjVhNC00MmM5LWExYzYtZmQ0ZWEwZTIxMGExXkEyXkFqcGdeQXVyODMyNDEyNjM@._V1_.jpg,6.8,2023,"Tom Nichols is a hardened New England detective, unflinching in his pursuit of a case where nothing is as it seems and it begins to dismantle the illusions in his own life.",Reptile,85060,
PG-13,25000000,"Viola Davis, Emma Stone, Octavia Spencer, Bryce Dallas Howard, Jessica Chastain, Ahna O'Reilly, Allison Janney, Anna Camp, Eleanor Henry, Emma Henry, Christopher Lowell, Cicely Tyson, Mike Vogel, Sissy Spacek, Brian Kerwin, Wes Chatham, Aunjanue Ellis-Taylor, Ted Welch","United States, India",8760,,Drama,tt1454029,Movie,62,The Help,https://m.media-amazon.com/images/M/MV5BMTM5OTMyMjIxOV5BMl5BanBnXkFtZTcwNzU4MjIwNQ@@._V1_.jpg,8.1,2011,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",The Help,490643,216639112
,,"Brian Cox, Miranda Otto, Shaun Dooley, Bilal Hasna, Benjamin Wainwright, Luke Pasqualino, Lorraine Ashbourne, Janine Duvitski, Gaia Wise, Michael Wildman, Jude Akuwudike, Laurence Ubong Williams, Yazdan Qafouri","United States, Japan, United Kingdom",7800,,"Animation, Action, Adventure",tt14824600,Movie,,The Lord of the Rings: The War of the Rohirrim,https://m.media-amazon.com/images/M/MV5BNWU1NjZiODktMjc4Ni00Yjg4LWEzMzUtNTJiMzM0ZDQ5NWYzXkEyXkFqcGdeQXVyMTMzNTYwMjAz._V1_.jpg,,2024,"The untold story behind Helm's Deep, hundreds of years before the fateful war, telling the life and bloodsoaked times of its founder, Helm Hammerhand, the King of Rohan.",The Lord of the Rings: The War of the Rohirrim,0,
PG,200000000,"Ariana DeBose, Chris Pine, Alan Tudyk, Angelique Cabral, Victor Garber, Natasha Rothwell, Jennifer Kumiyama, Harvey Guillén, Niko Vargas, Evan Peters, Ramy Youssef, Jon Rudnitsky, Della Saba, Keone Young, Lucas Sigler, Holland Watkins, Woody Buck, Efé",United States,5700,,"Animation, Adventure, Comedy",tt11304740,Movie,47,Wish,https://m.media-amazon.com/images/M/MV5BYWQ4M2ZmODItNzZhYi00MzY1LTk2ZmItYTUwODI2NzJmN2JiXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg,5.6,2023,A young girl named Asha wishes on a star and gets a more direct answer than she bargained for when a trouble-making star comes down from the sky to join her.,Wish,22660,254185541
PG-13,150000000,"Christian Bale, Michael Caine, Ken Watanabe, Liam Neeson, Katie Holmes, Gary Oldman, Cillian Murphy, Tom Wilkinson, Rutger Hauer, Linus Roache, Mark Boone Junior, Morgan Freeman, Larry Holden, Gerard Murphy, Colin McFarlane, Sara Stewart, Gus Lewis, Richard Brake","United States, United Kingdom",8400,,"Action, Crime, Drama",tt0372784,Movie,70,Batman Begins,https://m.media-amazon.com/images/M/MV5BOTY4YjI2N2MtYmFlMC00ZjcyLTg3YjEtMDQyM2ZjYzQ5YWFkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,8.2,2005,"After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",Batman Begins,1570845,375325692
R,"FRF 115,000,000 (estimated)","Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello, Peter Appel, Willi One Blood, Don Creech, Keith A. Glascoe, Randolph Scott, Michael Badalucco, Ellen Greene, Elizabeth Regen, Carl J. Matusovich, Frank Senger, Lucius Wyatt Cherokee, Eric Challier, Luc Bernard, Maïwenn","France, United States",6600,,"Action, Crime, Drama",tt0110413,Movie,64,Léon,https://m.media-amazon.com/images/M/MV5BOTgyMWQ0ZWUtN2Q2MS00NmY0LWI3OWMtNjFkMzZlNDZjNTk0XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg,8.5,1994,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",Léon: The Professional,1239394,19570198
R,7000000,"Christian Bale, Justin Theroux, Josh Lucas, Bill Sage, Chloë Sevigny, Reese Witherspoon, Samantha Mathis, Matt Ross, Jared Leto, Willem Dafoe, Cara Seymour, Guinevere Turner, Stephen Bogaert, Monika Meier, Reg E. Cathey, Blair Williams, Marie Dame, Kelley Harron","United States, Canada",6120,,"Crime, Drama, Horror",tt0144084,Movie,64,American Psycho,https://m.media-amazon.com/images/M/MV5BZTM2ZGJmNjQtN2UyOS00NjcxLWFjMDktMDE2NzMyNTZlZTBiXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,7.6,2000,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",American Psycho,709360,34266679
,,Timothée Chalamet,United States,,,Adventure,tt31378509,Movie,,Dune: Messiah,https://m.media-amazon.com/images/M/MV5BZGFkZThlYjYtZDFlNC00N2MzLTk0MTUtNTQzMzdlZTYyNmM0XkEyXkFqcGdeQXVyMTY5MDU2NTQ3._V1_.jpg,,,,Dune: Messiah,0,
,3360000,"Mammootty, Arjun Ashokan, Sidharth Bharathan, Amalda Liz, Manikandan R. Achari, Aluva Sheeba Sebastian, Akash Chandran, Rafnas Rafeek, Andrè, Sergi, Nikola, Stas, Vitalii, Zabi, Dmitri Sergeev, Alex, Sergé, Andrey",India,8340,,"Horror, Thriller",tt27431598,Movie,,Bramayugam,https://m.media-amazon.com/images/M/MV5BNWExZDRhZTktMGUxOS00ODQyLTk0ZTMtY2VkYWJkZjZlZDUyXkEyXkFqcGdeQXVyMTQ3Mzk2MDg4._V1_.jpg,8.1,2024,"Thevan, a folk singer of the Paanan caste, has a fateful encounter when escaping slavery, leading to discover an ancient tradition altering his destiny.",Bramayugam,5254,1596690
